x,rho(x),R(x),V(rho)
-6.896896896896897111e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.876876876876877098e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.856856856856857085e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.836836836836837072e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.816816816816817060e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.796796796796797047e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.776776776776776146e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.756756756756756133e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.736736736736736120e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.716716716716716107e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.696696696696696094e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.676676676676676081e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.656656656656656068e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.636636636636636055e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.616616616616616042e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.596596596596596029e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.576576576576576016e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.556556556556556004e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.536536536536535991e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.516516516516515978e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.496496496496495965e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.476476476476475952e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.456456456456455939e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
